Strategy report
Symbol: /MNQ:XCME
Work Time: 9/21/22, 5:15 AM - 6/7/23, 7:15 AM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;HODL_Strategy(GoLong);Buy to Open;2;4.0;$11,942.75;9/21/22, 5:15 AM;;$55.00;4.0;
2;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$11,798.25;9/21/22, 11:15 AM;($578.00);($578.00);0.0;
3;HODL_Strategy(GoShort);Sell to Open;-2;-4.0;$11,798.25;9/21/22, 11:15 AM;;($778.00);-4.0;
4;HODL_Strategy(GoLong);Buy to Close;2;4.0;$12,079.75;9/21/22, 11:45 AM;($1,126.00);($1,704.00);0.0;
5;HODL_Strategy(GoLong);Buy to Open;2;4.0;$12,079.75;9/21/22, 11:45 AM;;($1,724.00);4.0;
6;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$12,010.75;9/21/22, 12:15 PM;($276.00);($1,980.00);0.0;
7;HODL_Strategy(GoShort);Sell to Open;-2;-4.0;$12,010.75;9/21/22, 12:15 PM;;($1,346.00);-4.0;
8;HODL_Strategy(GoLong);Buy to Close;2;4.0;$11,662.75;9/22/22, 12:45 AM;$1,392.00;($588.00);0.0;
9;HODL_Strategy(GoLong);Buy to Open;2;4.0;$11,662.75;9/22/22, 12:45 AM;;($388.00);4.0;
10;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$11,663.50;9/22/22, 4:15 AM;$3.00;($585.00);0.0;
11;HODL_Strategy(GoShort);Sell to Open;-2;-4.0;$11,663.50;9/22/22, 4:15 AM;;($504.00);-4.0;
12;HODL_Strategy(GoLong);Buy to Close;2;4.0;$11,341.75;9/26/22, 12:15 AM;$1,287.00;$702.00;0.0;
13;HODL_Strategy(GoLong);Buy to Open;2;4.0;$11,341.75;9/26/22, 12:15 AM;;$910.00;4.0;
14;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$11,378.25;9/26/22, 8:30 AM;$146.00;$848.00;0.0;
15;HODL_Strategy(GoShort);Sell to Open;-2;-4.0;$11,378.25;9/26/22, 8:30 AM;;$898.00;-4.0;
16;HODL_Strategy(GoLong);Buy to Close;2;4.0;$11,508.00;9/27/22, 4:45 AM;($519.00);$329.00;0.0;
17;HODL_Strategy(GoLong);Buy to Open;2;4.0;$11,508.00;9/27/22, 4:45 AM;;$284.00;4.0;
