Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;,,,,
1;HODL_Strategy(GoLong);Buy to Open;2;4.0;$11,904.00;1/24/23, 7:15 AM;;($20.00);4.0;,,
2;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$11,913.00;1/24/23, 3:15 PM;$36.00;$36.00;0.0;,,
3;HODL_Strategy(GoLong);Buy to Open;2;4.0;$11,701.25;1/25/23, 8:15 AM;;$128.00;4.0;,,
4;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$11,993.00;1/26/23, 7:15 AM;$1,167.00;$1,203.00;0.0;
5;HODL_Strategy(GoLong);Buy to Open;2;4.0;$11,991.25;1/26/23, 10:15 AM;;$1,235.00;4.0;,
6;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$12,143.75;1/29/23, 11:15 PM;$610.00;$1,813.00;0.0;,
7;HODL_Strategy(GoLong);Buy to Open;2;4.0;$12,119.75;1/30/23, 7:00 AM;;$1,769.00;4.0;,
8;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$12,109.00;1/30/23, 7:15 AM;($43.00);$1,770.00;0.0;,
9;HODL_Strategy(GoLong);Buy to Open;2;4.0;$11,977.25;1/31/23, 12:00 AM;;$1,686.00;4.0;,
10;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$11,926.75;1/31/23, 12:45 AM;($202.00);$1,568.00;0.0;,
11;HODL_Strategy(GoLong);Buy to Open;2;4.0;$11,925.25;1/31/23, 5:15 AM;;$1,595.00;4.0;,
12;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$12,147.00;2/1/23, 7:15 AM;$887.00;$2,455.00;0.0;,
13;HODL_Strategy(GoLong);Buy to Open;2;4.0;$12,184.00;2/1/23, 11:15 AM;;$2,314.00;4.0;,
14;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$12,852.25;2/2/23, 11:15 AM;$2,673.00;$5,128.00;0.0;
15;HODL_Strategy(GoLong);Buy to Open;2;4.0;$12,629.50;2/3/23, 1:15 AM;;$5,182.00;4.0;,
16;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$12,756.25;2/3/23, 5:15 AM;$507.00;$5,635.00;0.0;,
17;HODL_Strategy(GoLong);Buy to Open;2;4.0;$12,572.50;2/3/23, 6:15 AM;;$5,646.00;4.0;,
