Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;,,,
1;HODL_Strategy(GoLong);Buy to Open;2;4.0;$14,395.00;5/28/23, 10:13 PM;;($7.00);4.0;,
2;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$14,421.75;5/29/23, 12:04 AM;$107.00;$107.00;0.0;,
3;HODL_Strategy(GoLong);Buy to Open;2;4.0;$14,395.75;5/29/23, 3:10 AM;;$118.00;4.0;,
4;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$14,417.00;5/29/23, 3:37 AM;$85.00;$192.00;0.0;,
5;HODL_Strategy(GoLong);Buy to Open;2;4.0;$14,386.00;5/29/23, 5:25 AM;;$217.00;4.0;,
6;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$14,379.50;5/29/23, 5:34 AM;($26.00);$166.00;0.0;,
7;HODL_Strategy(GoLong);Buy to Open;2;4.0;$14,377.25;5/29/23, 7:16 AM;;$170.00;4.0;,
8;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$14,382.25;5/29/23, 8:19 AM;$20.00;$186.00;0.0;,
9;HODL_Strategy(GoLong);Buy to Open;2;4.0;$14,381.75;5/29/23, 8:22 AM;;$185.00;4.0;,
10;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$14,379.00;5/29/23, 9:01 AM;($11.00);$175.00;0.0;,
11;HODL_Strategy(GoLong);Buy to Open;2;4.0;$14,382.00;5/29/23, 9:25 AM;;$178.00;4.0;,
12;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$14,397.25;5/29/23, 3:01 PM;$61.00;$236.00;0.0;,
13;HODL_Strategy(GoLong);Buy to Open;2;4.0;$14,406.75;5/29/23, 3:09 PM;;$245.00;4.0;,
14;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$14,395.00;5/29/23, 3:40 PM;($47.00);$189.00;0.0;,
15;HODL_Strategy(GoLong);Buy to Open;2;4.0;$14,400.75;5/29/23, 4:10 PM;;$191.00;4.0;,
16;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$14,399.75;5/29/23, 4:16 PM;($4.00);$185.00;0.0;,
17;HODL_Strategy(GoLong);Buy to Open;2;4.0;$14,389.50;5/29/23, 4:56 PM;;$185.00;4.0;,
18;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$14,384.00;5/29/23, 7:10 PM;($22.00);$163.00;0.0;,
19;HODL_Strategy(GoLong);Buy to Open;2;4.0;$14,384.00;5/29/23, 7:37 PM;;$162.00;4.0;,
20;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$14,386.50;5/29/23, 8:31 PM;$10.00;$173.00;0.0;,
21;HODL_Strategy(GoLong);Buy to Open;2;4.0;$14,389.25;5/29/23, 9:04 PM;;$172.00;4.0;,
22;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$14,390.00;5/29/23, 10:10 PM;$3.00;$176.00;0.0;,
23;HODL_Strategy(GoLong);Buy to Open;2;4.0;$14,389.50;5/29/23, 10:55 PM;;$189.00;4.0;,
24;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$14,400.25;5/29/23, 11:40 PM;$43.00;$219.00;0.0;,
25;HODL_Strategy(GoLong);Buy to Open;2;4.0;$14,405.75;5/30/23, 12:07 AM;;$231.00;4.0;,
26;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$14,402.00;5/30/23, 12:13 AM;($15.00);$204.00;0.0;,
27;HODL_Strategy(GoLong);Buy to Open;2;4.0;$14,406.00;5/30/23, 12:28 AM;;$216.00;4.0;,
28;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$14,496.75;5/30/23, 3:00 AM;$363.00;$567.00;0.0;,
29;HODL_Strategy(GoLong);Buy to Open;2;4.0;$14,499.50;5/30/23, 3:15 AM;;$593.00;4.0;,
30;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$14,496.50;5/30/23, 3:19 AM;($12.00);$555.00;0.0;,
31;HODL_Strategy(GoLong);Buy to Open;2;4.0;$14,486.00;5/30/23, 4:01 AM;;$590.00;4.0;,
32;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$14,549.00;5/30/23, 5:25 AM;$252.00;$807.00;0.0;,
33;HODL_Strategy(GoLong);Buy to Open;2;4.0;$14,518.25;5/30/23, 6:34 AM;;$787.00;4.0;,
34;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$14,513.75;5/30/23, 6:35 AM;($18.00);$789.00;0.0;,
35;HODL_Strategy(GoLong);Buy to Open;2;4.0;$14,506.00;5/30/23, 6:37 AM;;$850.00;4.0;,
36;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$14,489.75;5/30/23, 6:52 AM;($65.00);$724.00;0.0;,
