Strategy report
Symbol: /MNQ:XCME
Work Time: 5/17/23, 4:34 PM - 6/2/23, 12:19 AM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;HODL_Strategy(GoLong);Buy to Open;2;4.0;$13,641.25;5/17/23, 4:34 PM;;$3.00;4.0;
2;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$13,641.50;5/17/23, 4:52 PM;$1.00;$1.00;0.0;
3;HODL_Strategy(GoShort);Sell to Open;-2;-4.0;$13,641.50;5/17/23, 4:52 PM;;$5.00;-4.0;
4;HODL_Strategy(GoLong);Buy to Close;2;4.0;$13,642.50;5/17/23, 5:25 PM;($4.00);($3.00);0.0;
5;HODL_Strategy(GoLong);Buy to Open;2;4.0;$13,642.50;5/17/23, 5:25 PM;;$1.00;4.0;
6;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$13,641.00;5/17/23, 5:32 PM;($6.00);($9.00);0.0;
7;HODL_Strategy(GoShort);Sell to Open;-2;-4.0;$13,641.00;5/17/23, 5:32 PM;;($4.00);-4.0;
8;HODL_Strategy(GoLong);Buy to Close;2;4.0;$13,639.75;5/17/23, 7:16 PM;$5.00;($4.00);0.0;
9;HODL_Strategy(GoLong);Buy to Open;2;4.0;$13,639.75;5/17/23, 7:16 PM;;($7.00);4.0;
10;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$13,644.25;5/17/23, 8:55 PM;$18.00;$14.00;0.0;
11;HODL_Strategy(GoShort);Sell to Open;-2;-4.0;$13,644.25;5/17/23, 8:55 PM;;$16.00;-4.0;
12;HODL_Strategy(GoLong);Buy to Close;2;4.0;$13,644.75;5/17/23, 9:42 PM;($2.00);$12.00;0.0;
13;HODL_Strategy(GoLong);Buy to Open;2;4.0;$13,644.75;5/17/23, 9:42 PM;;$12.00;4.0;
14;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$13,643.25;5/17/23, 10:01 PM;($6.00);$6.00;0.0;
15;HODL_Strategy(GoShort);Sell to Open;-2;-4.0;$13,643.25;5/17/23, 10:01 PM;;$2.00;-4.0;
16;HODL_Strategy(GoLong);Buy to Close;2;4.0;$13,645.50;5/17/23, 10:16 PM;($9.00);($3.00);0.0;
17;HODL_Strategy(GoLong);Buy to Open;2;4.0;$13,645.50;5/17/23, 10:16 PM;;$6.00;4.0;
18;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$13,644.50;5/17/23, 10:22 PM;($4.00);($7.00);0.0;
19;HODL_Strategy(GoShort);Sell to Open;-2;-4.0;$13,644.50;5/17/23, 10:22 PM;;($3.00);-4.0;
20;HODL_Strategy(GoLong);Buy to Close;2;4.0;$13,637.25;5/18/23, 12:01 AM;$29.00;$22.00;0.0;
21;HODL_Strategy(GoLong);Buy to Open;2;4.0;$13,637.25;5/18/23, 12:01 AM;;$25.00;4.0;
22;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$13,675.75;5/18/23, 5:05 AM;$154.00;$176.00;0.0;
23;HODL_Strategy(GoShort);Sell to Open;-2;-4.0;$13,675.75;5/18/23, 5:05 AM;;$187.00;-4.0;
24;HODL_Strategy(GoLong);Buy to Close;2;4.0;$13,651.75;5/18/23, 6:16 AM;$96.00;$272.00;0.0;
25;HODL_Strategy(GoLong);Buy to Open;2;4.0;$13,651.75;5/18/23, 6:16 AM;;$285.00;4.0;
26;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$13,830.50;5/18/23, 8:57 AM;$715.00;$987.00;0.0;
27;HODL_Strategy(GoShort);Sell to Open;-2;-4.0;$13,830.50;5/18/23, 8:57 AM;;$989.00;-4.0;
28;HODL_Strategy(GoLong);Buy to Close;2;4.0;$13,818.50;5/18/23, 10:19 AM;$48.00;$1,035.00;0.0;
29;HODL_Strategy(GoLong);Buy to Open;2;4.0;$13,818.50;5/18/23, 10:19 AM;;$1,033.00;4.0;
30;HODL_Strategy(GoShort);Sell to Close;-2;-4.0;$13,836.00;5/18/23, 10:28 AM;$70.00;$1,105.00;0.0;
31;HODL_Strategy(GoShort);Sell to Open;-2;-4.0;$13,836.00;5/18/23, 10:28 AM;;$1,174.00;-4.0;
32;HODL_Strategy(GoLong);Buy to Close;2;4.0;$13,789.50;5/18/23, 11:22 AM;$186.00;$1,291.00;0.0;
